"Metabolite","Group Area: HILIC_Neg_WT1","Group Area: HILIC_Neg_WT2","Group Area: HILIC_Neg_WT3","Group Area: HILIC_Neg_WRN1","Group Area: HILIC_Neg_WRN2","Group Area: HILIC_Neg_WRN3","Group Area: HILIC_Neg_shPGC1B1","Group Area: HILIC_Neg_shPGC1B2","Group Area: HILIC_Neg_shPGC1B3"
"NA..6",3.48765471270043,3.11562410220435,3.27353759920217,2.95715730921414,2.74368824381606,2.80860109756128,2.25387394934915,3.20934045544898,2.35867798418902
"X2.C.methyl.D.erythritol.4.phosphate",-0.884254931427439,-0.648239457532611,0.249272889703509,1.35508806500069,1.34216137799254,1.84405835184414,2.74589369416388,0.831723806822232,3.2343862708961
"NA..7",-3.49083909812206,-2.27465487674594,-2.30615032898694,-2.85677872178924,-2.51035063482772,-2.82609846951454,-2.26074790651983,-2.40112342474492,-2.54481006565572
"NA..8",-0.798464768440429,-0.0514368946198083,0.0358540995205914,-0.356302631564308,-0.572614400270329,-0.0517812516100165,0.116953936443242,-0.0106815697152456,0.256624176199882
"NA..9",0.0586936142604131,0.629849826712984,0.257823250403366,0.37836449891299,0.453779468905523,0.433713666306499,0.187914907607801,0.305425814317118,-0.0272998218099509
"NA..10",-0.663551207963607,-0.56706845070638,-0.16870225016924,0.164706666365944,0.13633892669295,0.58707822953134,0.560637738997283,-0.241269774061756,0.84130328846296
"Phosphorus.V..sulfide",-0.298716871235374,-0.359778190119727,-0.888714816022752,-0.400662365485005,-0.60244315120919,-1.06345044539706,-1.63162609149396,-1.99864355517576,-2.27807072843849
"NA..11",0.337723419579003,0.695162711671742,0.932257023959799,1.36063621669036,1.15504067432204,1.45322319157177,1.70457820654565,0.801573531830606,1.92420214508681
"X3.5.Dichloro.2.methylmuconate",-4.8844738145412,-5.02498005401588,-5.03565086595584,-2.1582987058048,-1.76807489781955,-1.36459321739454,-1.52824768071977,-2.09227475985903,-1.26062546269562
"NA..12",4.3121312286521,4.68569686459973,4.39972455677313,3.15546816130092,2.89670310896786,2.61106656335806,3.26016803560474,3.56573620496909,2.99891838945298
"NA..13",-4.11721260734355,-4.2689959450159,-4.38831764688698,-4.44041057340594,-3.20387944271803,-1.93271331853285,-0.775864515053701,-2.8540305703504,-2.4906360809824
"NA..14",-3.59478818762629,-3.76898600394481,-3.83551079275652,0.210950597695142,0.316340906725188,0.919152027502484,0.550035684782006,-1.14753663703367,1.21441923975271
"NA..15",1.62819259156048,1.21297108893967,0.980706648830758,1.07589797592573,0.774980048225853,0.623958718742283,0.640056440175098,0.0810977959196038,-0.982227076533377
"NA..16",-3.20319550689565,-3.3703730865159,-2.72060367385457,0.856320084022499,0.785910018136438,1.00959053282593,0.620016384035967,0.0602248380295194,0.559837822573463
"MQD",-2.08114237307599,-1.58399703765177,-1.09174740836354,2.00262257225723,1.9845846890124,2.15318119350864,1.81090229993521,1.11443550311022,1.71616280986268
"NA..17",0.567252859195584,0.287879575098035,0.253375616723812,-0.223073831130691,1.3137808734848,-0.180113421880538,-1.05314372624894,0.401624574868677,-1.27295786567368
"NA..18",0.74689214176896,0.846622975205221,1.30434059183091,0.0605117588543997,-0.397764567266535,0.397368619418987,0.995150646868673,0.378183627840951,0.672395994131428
"NA..19",1.74403372184158,1.85573655127097,1.84158907261548,1.72885654061976,2.0291924819405,2.22892658844932,2.03578766017285,1.52037880314334,2.51828226899381
"NA..20",-2.08808644879883,-1.3579863981842,-1.15650297939847,-1.89309499310625,-1.59254500104175,-1.03535256021511,-0.871004852418697,-1.27095541108809,-0.54163418249798
"X6.Deoxypenciclovir",-2.33246526329878,-2.02952382913663,-1.37655385092775,-1.49672293824802,-1.65349405760887,-0.383392412701795,0.861800224454676,-2.1428866691827,0.0196934540433169
"NA..21",0.509984925212187,0.561530071462368,0.896946395129586,0.965684448320687,0.78754428111699,1.11800880998647,0.819692200222732,0.665676319157498,0.55026496532642
"NA..22",0.451809882279676,0.640844225407101,0.887122943646631,-0.00835590633989725,0.337355239204626,0.364890121500935,1.00290659980069,0.0454610272409681,1.54527988637443
"NA..23",0.00647682888153156,-0.105863547121618,0.0285155711388008,-0.0737599507171183,-0.00662534007129167,0.0281569727161077,-0.185536769273895,-0.225865382460096,-0.102570801810479
"NA..24",-3.44588352301003,-2.93235618425217,-2.36979250785403,-2.24698180127601,-1.87468053067313,-1.28842326667985,-0.222357595177055,-3.61296513465991,0.427695919555941
"Propyl.1..propylsulfinyl.propyl.disulfide",5.39324128236581,5.36620673393022,5.24821545540238,5.33067178562326,5.14507539649573,4.85467129072326,4.44871971942811,6.96191387814325,4.27649977502645
"Propyl.1..propylsulfinyl.propyl.disulfide.1",6.90563786979522,7.02166730136888,7.42711645171195,6.19762893498666,5.7966847444236,6.72767203894164,6.84849820423235,7.12867524128584,6.79401243436119
"NA..25",1.94700946453993,2.28021318897775,2.56737341501683,2.85748448757867,2.62357453921835,2.57032988466323,2.34924818263556,2.33030709092672,2.16194294731772
"Propyl.1..propylsulfinyl.propyl.disulfide.2",3.54294654417764,2.19622280923726,2.6823636897899,2.48718368967596,2.57753239777814,2.38347588598914,2.06322000591933,2.84078422722371,2.15094492678582
"Propyl.1..propylsulfinyl.propyl.disulfide.3",3.3650938694558,1.50006705003424,1.99933928754648,1.80984439365094,1.23294482851285,1.38682321387068,1.27385802697832,1.75873515080544,1.04767534611644
"NA..26",1.02556976184554,-0.293619840191464,0.0768412217857062,-0.320495421146816,-0.188089648572547,-0.355939144902603,-0.626989348186026,-0.335731702473939,-0.94531778778715
"X3.5.Dichloro.2.hydroxybenzenesulfonic.acid",-2.89816799086643,-3.36751808146899,-3.62790214653628,1.98666623078828,1.91307215995856,2.11615802666893,-0.620099066386196,-0.705070555169595,-0.779087365536075
"NA..27",0.945454665155911,1.00563680196782,1.11742263582835,3.37205349766735,3.11802857223405,3.35742014485744,1.82756919579636,2.05690680422788,2.57884312455058
"NA..28",3.10334072805552,4.46619226088692,4.44622524624301,3.26484355535454,2.99355587397291,3.46257414819599,4.3350770819964,2.85442756866858,4.89265771694876
"NA..29",-4.14858133412018,-4.14343462856468,-3.73723477060113,-4.33053467517629,-3.40618141676744,-1.83470191435485,-1.42714519641354,-4.07218746896313,0.279328095339245
"Glycerophosphoglycerol",-0.140585564801185,0.169590502253719,0.472049516943009,1.26845481253886,1.10384316833925,1.42839169724334,1.9816731544692,1.20732872559807,2.33976270876525
"Aspartylhydroxyproline",0.547636294296712,0.756265284020245,0.653131310561623,0.824668621847398,0.702185779774467,1.25867628965185,0.80507114304789,0.304739818191983,0.706143396605491
"NA..30",-3.67921574902465,-3.87239039944347,-3.65102323702227,-2.77055585882806,-3.18232617389399,-3.15473225971177,-1.35500623883727,-4.01465613817481,-0.260258540116361
"NA..31",-1.70674505056192,-1.27824145003542,-0.275165408245932,0.548249876011702,0.534181399899428,0.600549394800627,0.474628007884444,-0.272005362875749,0.554580539432454
